0: Future adherence compares against the updated interval only. | android.widget.TextView | clickable=false enabled=true | center=541,96 | bounds=[129,132][953,60]
1: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,281 | bounds=[129,254][953,307]
2: Before: Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,365 | bounds=[129,338][953,391]
3: After: Sun, Mar 15, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,450 | bounds=[129,423][953,476]
4: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,697 | bounds=[129,670][953,723]
5: Before: Mar 18, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,781 | bounds=[129,754][953,807]
6: After: Mar 15, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,866 | bounds=[129,839][953,892]
7: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,1114 | bounds=[129,1087][953,1140]
8: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1198 | bounds=[129,1171][953,1224]
9: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1283 | bounds=[129,1256][953,1309]
10: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1530 | bounds=[129,1503][953,1556]
11: moved | android.widget.TextView | clickable=false enabled=true | center=223,1636 | bounds=[165,1609][280,1662]
12: Before: Wed, Mar 18, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1742 | bounds=[129,1715][953,1768]
13: After: Sun, Mar 15, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1800 | bounds=[129,1773][953,1826]
14: moved | android.widget.TextView | clickable=false enabled=true | center=223,1905 | bounds=[165,1878][280,1931]
15: Before: Wed, Mar 25, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2011 | bounds=[129,1984][953,2037]
16: After: Tue, Mar 17, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2069 | bounds=[129,2042][953,2095]
17: added | android.widget.TextView | clickable=false enabled=true | center=218,2174 | bounds=[165,2147][270,2200]
18: After: Thu, Mar 19, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2280 | bounds=[129,2253][953,2306]
19: added | android.widget.TextView | clickable=false enabled=true | center=218,2348 | bounds=[165,2358][270,2337]
