0: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,91 | bounds=[129,132][953,50]
1: REPEAT EVERY N DAYS | android.widget.TextView | clickable=false enabled=true | center=541,134 | bounds=[129,132][953,135]
2: 2 | android.widget.EditText | clickable=true enabled=true | center=541,225 | bounds=[129,156][953,293]
3: TIME OF DAY | android.widget.TextView | clickable=false enabled=true | center=541,350 | bounds=[129,323][953,376]
4: 08:00 | android.widget.EditText | clickable=true enabled=true | center=541,466 | bounds=[129,397][953,534]
5: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,753 | bounds=[129,726][953,779]
6: 7 days | android.widget.Button | clickable=true enabled=true | center=540,888 | bounds=[129,811][951,964]
7: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,888 | bounds=[174,856][908,919]
8: 14 days | android.widget.Button | clickable=true enabled=true | center=540,1071 | bounds=[129,995][951,1147]
9: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,1072 | bounds=[174,1040][908,1103]
10: 30 days | android.widget.Button | clickable=true enabled=true | center=540,1255 | bounds=[129,1179][951,1331]
11: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,1256 | bounds=[174,1224][908,1287]
12: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1552 | bounds=[129,1525][953,1578]
13: Future cadence changes to every 2 days at 08:00 starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,1728 | bounds=[129,1609][953,1846]
14: Future adherence compares against the updated interval only. | android.widget.TextView | clickable=false enabled=true | center=541,1931 | bounds=[129,1878][953,1984]
15: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,2205 | bounds=[129,2178][953,2231]
16: Before: Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,2289 | bounds=[129,2262][953,2315]
17: After: Sun, Mar 15, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,2342 | bounds=[129,2347][953,2337]
