0: active | android.widget.TextView | clickable=false enabled=true | center=151,112 | bounds=[99,132][202,91]
1: CURRENT FUTURE PLAN | android.widget.TextView | clickable=false enabled=true | center=541,268 | bounds=[129,241][953,294]
2: Every Wednesday at 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,365 | bounds=[129,325][953,404]
3: 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,463 | bounds=[129,436][953,489]
4: Next due Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,547 | bounds=[129,520][953,573]
5: Effective from 2026-03-13 | android.widget.TextView | clickable=false enabled=true | center=541,632 | bounds=[129,605][953,658]
6: LINKED INFRASTRUCTURE | android.widget.TextView | clickable=false enabled=true | center=541,879 | bounds=[129,852][953,905]
7: Reminder mode: full detail | android.widget.TextView | clickable=false enabled=true | center=541,963 | bounds=[129,936][953,989]
8: Saved vials: 2 | android.widget.TextView | clickable=false enabled=true | center=541,1048 | bounds=[129,1021][953,1074]
9: Saved sites: 1 | android.widget.TextView | clickable=false enabled=true | center=541,1132 | bounds=[129,1105][953,1158]
10: PROTOCOL CHANGE STUDIO | android.widget.TextView | clickable=false enabled=true | center=541,1380 | bounds=[129,1353][953,1406]
11: Preview future-only changes over 7, 14, and 30 days before committing anything. | android.widget.TextView | clickable=false enabled=true | center=541,1490 | bounds=[129,1437][953,1543]
12: Change future plan | android.widget.Button | clickable=true enabled=true | center=540,1641 | bounds=[129,1575][951,1706]
13: Change future plan | android.widget.TextView | clickable=false enabled=true | center=540,1641 | bounds=[360,1609][720,1672]
14: AUDIT HISTORY | android.widget.TextView | clickable=false enabled=true | center=541,1928 | bounds=[129,1901][953,1954]
15: Future saved amount changes to 1 mg starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,2083 | bounds=[129,2020][953,2146]
16: Fri, Mar 13 | android.widget.TextView | clickable=false enabled=true | center=541,2183 | bounds=[129,2156][953,2209]
