0: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,120 | bounds=[129,132][951,107]
1: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,97 | bounds=[174,132][908,62]
2: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,273 | bounds=[129,138][951,407]
3: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,215 | bounds=[174,183][908,246]
4: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,309 | bounds=[174,256][908,362]
5: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,573 | bounds=[129,439][951,707]
6: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,516 | bounds=[174,484][908,547]
7: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,610 | bounds=[174,557][908,663]
8: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,928 | bounds=[129,901][953,954]
9: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,1013 | bounds=[129,986][953,1039]
10: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,1128 | bounds=[129,1060][953,1196]
11: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,1417 | bounds=[129,1390][953,1443]
12: TIMEZONE | android.widget.TextView | clickable=false enabled=true | center=541,1502 | bounds=[129,1475][953,1528]
13: America/New_York | android.widget.EditText | clickable=true enabled=true | center=541,1618 | bounds=[129,1549][953,1686]
14: Keep local clock | android.widget.Button | clickable=true enabled=true | center=540,1792 | bounds=[129,1716][951,1868]
15: Keep local clock | android.widget.TextView | clickable=false enabled=true | center=541,1793 | bounds=[174,1761][908,1824]
16: Keep home timezone | android.widget.Button | clickable=true enabled=true | center=540,1976 | bounds=[129,1900][951,2052]
17: Keep home timezone | android.widget.TextView | clickable=false enabled=true | center=541,1977 | bounds=[174,1945][908,2008]
18: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,2272 | bounds=[129,2245][953,2298]
19: 7 days | android.widget.Button | clickable=true enabled=true | center=540,2334 | bounds=[129,2330][951,2337]
20: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,2356 | bounds=[174,2375][908,2337]
