0: Every N days | android.widget.Button | clickable=true enabled=true | center=540,179 | bounds=[129,132][951,226]
1: Every N days | android.widget.TextView | clickable=false enabled=true | center=541,99 | bounds=[174,132][908,65]
2: Use a fixed interval cadence instead of a weekday. | android.widget.TextView | clickable=false enabled=true | center=541,157 | bounds=[174,132][908,181]
3: Pause | android.widget.Button | clickable=true enabled=true | center=540,392 | bounds=[129,257][951,526]
4: Pause | android.widget.TextView | clickable=false enabled=true | center=541,334 | bounds=[174,302][908,365]
5: Stop future occurrences until a later resume revision. | android.widget.TextView | clickable=false enabled=true | center=541,428 | bounds=[174,375][908,481]
6: Resume | android.widget.Button | clickable=true enabled=true | center=540,692 | bounds=[129,557][951,826]
7: Resume | android.widget.TextView | clickable=false enabled=true | center=541,634 | bounds=[174,602][908,665]
8: Restart future occurrences from a chosen date. | android.widget.TextView | clickable=false enabled=true | center=541,728 | bounds=[174,675][908,781]
9: Titration | android.widget.Button | clickable=true enabled=true | center=540,992 | bounds=[129,858][951,1126]
10: Titration | android.widget.TextView | clickable=false enabled=true | center=541,935 | bounds=[174,903][908,966]
11: Stage a future phase before returning to the base plan. | android.widget.TextView | clickable=false enabled=true | center=541,1029 | bounds=[174,976][908,1082]
12: Rest period | android.widget.Button | clickable=true enabled=true | center=540,1266 | bounds=[129,1158][951,1374]
13: Rest period | android.widget.TextView | clickable=false enabled=true | center=541,1235 | bounds=[174,1203][908,1266]
14: Insert a bounded no-dose future window. | android.widget.TextView | clickable=false enabled=true | center=541,1303 | bounds=[174,1276][908,1329]
15: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,1540 | bounds=[129,1405][951,1674]
16: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,1482 | bounds=[174,1450][908,1513]
17: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,1576 | bounds=[174,1523][908,1629]
18: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,1840 | bounds=[129,1705][951,1974]
19: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,1782 | bounds=[174,1750][908,1813]
20: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,1876 | bounds=[174,1823][908,1929]
21: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,2140 | bounds=[129,2006][951,2274]
22: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,2083 | bounds=[174,2051][908,2114]
23: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,2177 | bounds=[174,2124][908,2230]
