0: Weekday | android.widget.Button | clickable=true enabled=true | center=540,71 | bounds=[129,132][951,9]
1: Every N days | android.widget.Button | clickable=true enabled=true | center=540,221 | bounds=[129,132][951,310]
2: Every N days | android.widget.TextView | clickable=false enabled=true | center=541,141 | bounds=[174,132][908,149]
3: Use a fixed interval cadence instead of a weekday. | android.widget.TextView | clickable=false enabled=true | center=541,212 | bounds=[174,159][908,265]
4: Pause | android.widget.Button | clickable=true enabled=true | center=540,476 | bounds=[129,341][951,610]
5: Pause | android.widget.TextView | clickable=false enabled=true | center=541,418 | bounds=[174,386][908,449]
6: Stop future occurrences until a later resume revision. | android.widget.TextView | clickable=false enabled=true | center=541,512 | bounds=[174,459][908,565]
7: Resume | android.widget.Button | clickable=true enabled=true | center=540,776 | bounds=[129,641][951,910]
8: Resume | android.widget.TextView | clickable=false enabled=true | center=541,718 | bounds=[174,686][908,749]
9: Restart future occurrences from a chosen date. | android.widget.TextView | clickable=false enabled=true | center=541,812 | bounds=[174,759][908,865]
10: Titration | android.widget.Button | clickable=true enabled=true | center=540,1076 | bounds=[129,942][951,1210]
11: Titration | android.widget.TextView | clickable=false enabled=true | center=541,1019 | bounds=[174,987][908,1050]
12: Stage a future phase before returning to the base plan. | android.widget.TextView | clickable=false enabled=true | center=541,1113 | bounds=[174,1060][908,1166]
13: Rest period | android.widget.Button | clickable=true enabled=true | center=540,1350 | bounds=[129,1242][951,1458]
14: Rest period | android.widget.TextView | clickable=false enabled=true | center=541,1319 | bounds=[174,1287][908,1350]
15: Insert a bounded no-dose future window. | android.widget.TextView | clickable=false enabled=true | center=541,1387 | bounds=[174,1360][908,1413]
16: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,1624 | bounds=[129,1489][951,1758]
17: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,1566 | bounds=[174,1534][908,1597]
18: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,1660 | bounds=[174,1607][908,1713]
19: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,1924 | bounds=[129,1789][951,2058]
20: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,1866 | bounds=[174,1834][908,1897]
21: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,1960 | bounds=[174,1907][908,2013]
22: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,2214 | bounds=[129,2090][951,2337]
23: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,2167 | bounds=[174,2135][908,2198]
24: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,2261 | bounds=[174,2208][908,2314]
