0: Atlas will suggest the next body site instead of repeating the last one. | android.widget.TextView | clickable=false enabled=true | center=459,89 | bounds=[129,132][789,45]
1: Injection sites | android.widget.TextView | clickable=false enabled=true | center=541,279 | bounds=[129,239][953,318]
2: Site tracking is optional. Save body regions here so dose logging can stay fast later. | android.widget.TextView | clickable=false enabled=true | center=541,413 | bounds=[129,360][953,466]
3: SITE NAME | android.widget.TextView | clickable=false enabled=true | center=541,535 | bounds=[129,508][953,561]
4: Left abdomen | android.widget.EditText | clickable=true enabled=true | center=541,651 | bounds=[129,582][953,719]
5: BODY AREA | android.widget.TextView | clickable=false enabled=true | center=541,786 | bounds=[129,759][953,812]
6: abdomen | android.widget.Button | clickable=true enabled=true | center=540,931 | bounds=[129,855][951,1007]
7: abdomen | android.widget.TextView | clickable=false enabled=true | center=541,932 | bounds=[174,900][908,963]
8: thigh | android.widget.Button | clickable=true enabled=true | center=540,1115 | bounds=[129,1039][951,1191]
9: thigh | android.widget.TextView | clickable=false enabled=true | center=541,1116 | bounds=[174,1084][908,1147]
10: arm | android.widget.Button | clickable=true enabled=true | center=540,1300 | bounds=[129,1223][951,1376]
11: arm | android.widget.TextView | clickable=false enabled=true | center=541,1300 | bounds=[174,1268][908,1331]
12: glute | android.widget.Button | clickable=true enabled=true | center=540,1482 | bounds=[129,1406][951,1558]
13: glute | android.widget.TextView | clickable=false enabled=true | center=541,1483 | bounds=[174,1451][908,1514]
14: other | android.widget.Button | clickable=true enabled=true | center=540,1666 | bounds=[129,1590][951,1742]
15: other | android.widget.TextView | clickable=false enabled=true | center=541,1667 | bounds=[174,1635][908,1698]
16: OPTIONAL SITE NOTE | android.widget.TextView | clickable=false enabled=true | center=541,1811 | bounds=[129,1784][953,1837]
17: Anything private you want to remember. | android.widget.EditText | clickable=true enabled=true | center=541,1927 | bounds=[129,1858][953,1995]
18: Save site | android.widget.Button | clickable=true enabled=true | center=540,2102 | bounds=[129,2036][951,2167]
19: Save site | android.widget.TextView | clickable=false enabled=true | center=540,2102 | bounds=[454,2070][626,2133]
20: Left abdomen | android.widget.TextView | clickable=false enabled=true | center=404,2257 | bounds=[129,2225][678,2288]
21: abdomen | android.widget.TextView | clickable=false enabled=true | center=835,2257 | bounds=[755,2230][914,2283]
