0: LOW STOCK THRESHOLD | android.widget.TextView | clickable=false enabled=true | center=541,77 | bounds=[129,132][953,22]
1: 1 | android.widget.EditText | clickable=true enabled=true | center=541,156 | bounds=[129,132][953,180]
2: CONCENTRATION VALUE (OPTIONAL) | android.widget.TextView | clickable=false enabled=true | center=541,247 | bounds=[129,220][953,273]
3: 0.25 | android.widget.EditText | clickable=true enabled=true | center=541,363 | bounds=[129,294][953,431]
4: CONCENTRATION UNIT | android.widget.TextView | clickable=false enabled=true | center=541,499 | bounds=[129,472][953,525]
5: mg | android.widget.Button | clickable=true enabled=true | center=540,643 | bounds=[129,567][951,719]
6: mg | android.widget.TextView | clickable=false enabled=true | center=541,644 | bounds=[174,612][908,675]
7: mcg | android.widget.Button | clickable=true enabled=true | center=540,827 | bounds=[129,751][951,903]
8: mcg | android.widget.TextView | clickable=false enabled=true | center=541,828 | bounds=[174,796][908,859]
9: units | android.widget.Button | clickable=true enabled=true | center=540,1011 | bounds=[129,935][951,1087]
10: units | android.widget.TextView | clickable=false enabled=true | center=541,1012 | bounds=[174,980][908,1043]
11: VOLUME ML (OPTIONAL) | android.widget.TextView | clickable=false enabled=true | center=541,1156 | bounds=[129,1129][953,1182]
12: 2 | android.widget.EditText | clickable=true enabled=true | center=541,1272 | bounds=[129,1203][953,1340]
13: Save vial | android.widget.Button | clickable=true enabled=true | center=540,1447 | bounds=[129,1381][951,1512]
14: Save vial | android.widget.TextView | clickable=false enabled=true | center=541,1447 | bounds=[457,1415][624,1478]
15: Starter pen | android.widget.TextView | clickable=false enabled=true | center=354,1746 | bounds=[129,1706][578,1785]
16: Tracked locally | android.widget.TextView | clickable=false enabled=true | center=785,1754 | bounds=[655,1727][914,1780]
17: 4 dose remaining of 4 dose | android.widget.TextView | clickable=false enabled=true | center=354,1859 | bounds=[129,1806][578,1912]
18: Low stock at 1 dose | android.widget.TextView | clickable=false enabled=true | center=541,1981 | bounds=[129,1954][953,2007]
19: MANUAL CORRECTION | android.widget.TextView | clickable=false enabled=true | center=541,2076 | bounds=[129,2049][953,2102]
20: 4 | android.widget.EditText | clickable=true enabled=true | center=541,2191 | bounds=[129,2123][953,2259]
21: CORRECTION NOTE | android.widget.TextView | clickable=false enabled=true | center=541,2319 | bounds=[129,2301][953,2337]
22: Why did the count change? | android.widget.EditText | clickable=true enabled=true | center=541,2356 | bounds=[129,2375][953,2337]
