0: 2 | android.widget.EditText | clickable=true enabled=true | center=541,138 | bounds=[129,132][953,144]
1: Save vial | android.widget.Button | clickable=true enabled=true | center=540,251 | bounds=[129,185][951,316]
2: Save vial | android.widget.TextView | clickable=false enabled=true | center=541,251 | bounds=[457,219][624,282]
3: Starter pen | android.widget.TextView | clickable=false enabled=true | center=354,550 | bounds=[129,510][578,589]
4: Tracked locally | android.widget.TextView | clickable=false enabled=true | center=785,558 | bounds=[655,531][914,584]
5: 4 dose remaining of 4 dose | android.widget.TextView | clickable=false enabled=true | center=354,663 | bounds=[129,610][578,716]
6: Low stock at 1 dose | android.widget.TextView | clickable=false enabled=true | center=541,785 | bounds=[129,758][953,811]
7: MANUAL CORRECTION | android.widget.TextView | clickable=false enabled=true | center=541,880 | bounds=[129,853][953,906]
8: 4 | android.widget.EditText | clickable=true enabled=true | center=541,995 | bounds=[129,927][953,1063]
9: CORRECTION NOTE | android.widget.TextView | clickable=false enabled=true | center=541,1132 | bounds=[129,1105][953,1158]
10: Why did the count change? | android.widget.EditText | clickable=true enabled=true | center=541,1248 | bounds=[129,1179][953,1316]
11: Save correction | android.widget.Button | clickable=true enabled=true | center=540,1423 | bounds=[129,1357][951,1488]
12: Save correction | android.widget.TextView | clickable=false enabled=true | center=540,1423 | bounds=[392,1391][688,1454]
13: Delete vial | android.widget.Button | clickable=true enabled=true | center=540,1596 | bounds=[129,1530][951,1661]
14: Delete vial | android.widget.TextView | clickable=false enabled=true | center=540,1596 | bounds=[442,1564][638,1627]
15: Protocol inventory settings | android.widget.TextView | clickable=false enabled=true | center=541,1895 | bounds=[129,1855][953,1934]
16: Link each protocol to one tracked vial and choose whether Today should ask for injection sites. | android.widget.TextView | clickable=false enabled=true | center=541,2056 | bounds=[129,1976][953,2135]
17: Wegovy | android.widget.TextView | clickable=false enabled=true | center=238,2270 | bounds=[129,2222][347,2317]
18: GLP | android.widget.TextView | clickable=false enabled=true | center=450,2270 | bounds=[415,2243][485,2296]
19: Every Wednesday at 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,2338 | bounds=[129,2338][953,2337]
