0: INVENTORY | android.widget.TextView | clickable=false enabled=true | center=540,222 | bounds=[63,195][1017,248]
1: Vials, stock, and sites | android.widget.TextView | clickable=false enabled=true | center=540,319 | bounds=[63,269][1017,369]
2: Inventory stays local-first. Link a vial, track what remains, and keep optional site rotation ready for logging. | android.widget.TextView | clickable=false enabled=true | center=540,443 | bounds=[63,390][1017,496]
3: Stock looks stable | android.widget.TextView | clickable=false enabled=true | center=257,586 | bounds=[99,559][414,612]
4: 0 vials | android.widget.TextView | clickable=false enabled=true | center=575,586 | bounds=[519,559][630,612]
5: Quick tools | android.widget.TextView | clickable=false enabled=true | center=541,802 | bounds=[129,762][953,841]
6: Use the calculator for neutral reconstitution math, then come back here to keep stock current. | android.widget.TextView | clickable=false enabled=true | center=541,963 | bounds=[129,883][953,1042]
7: Open calculator | android.widget.Button | clickable=true enabled=true | center=540,1150 | bounds=[129,1084][951,1215]
8: Open calculator | android.widget.TextView | clickable=false enabled=true | center=541,1150 | bounds=[392,1118][689,1181]
9: Add a vial | android.widget.TextView | clickable=false enabled=true | center=541,1450 | bounds=[129,1410][953,1489]
10: VIAL LABEL | android.widget.TextView | clickable=false enabled=true | center=541,1558 | bounds=[129,1531][953,1584]
11: Starter pen | android.widget.EditText | clickable=true enabled=true | center=541,1673 | bounds=[129,1605][953,1741]
12: ATTACH TO PROTOCOL | android.widget.TextView | clickable=false enabled=true | center=541,1809 | bounds=[129,1782][953,1835]
13: Not linked yet | android.widget.Button | clickable=true enabled=true | center=540,1954 | bounds=[129,1878][951,2030]
14: Not linked yet | android.widget.TextView | clickable=false enabled=true | center=541,1955 | bounds=[174,1923][908,1986]
15: Wegovy | android.widget.Button | clickable=true enabled=true | center=540,2138 | bounds=[129,2062][951,2214]
16: Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,2139 | bounds=[174,2107][908,2170]
17: STARTING QUANTITY | android.widget.TextView | clickable=false enabled=true | center=541,2283 | bounds=[129,2256][953,2309]
18: 4 | android.widget.EditText | clickable=true enabled=true | center=541,2334 | bounds=[129,2330][953,2337]
