0: 4 | android.widget.EditText | clickable=true enabled=true | center=541,122 | bounds=[129,132][953,111]
1: QUANTITY UNIT | android.widget.TextView | clickable=false enabled=true | center=541,178 | bounds=[129,151][953,204]
2: dose | android.widget.Button | clickable=true enabled=true | center=540,323 | bounds=[129,246][951,399]
3: dose | android.widget.TextView | clickable=false enabled=true | center=541,323 | bounds=[174,291][908,354]
4: mg | android.widget.Button | clickable=true enabled=true | center=540,506 | bounds=[129,430][951,582]
5: mg | android.widget.TextView | clickable=false enabled=true | center=541,507 | bounds=[174,475][908,538]
6: mcg | android.widget.Button | clickable=true enabled=true | center=540,690 | bounds=[129,614][951,766]
7: mcg | android.widget.TextView | clickable=false enabled=true | center=541,691 | bounds=[174,659][908,722]
8: units | android.widget.Button | clickable=true enabled=true | center=540,873 | bounds=[129,797][951,949]
9: units | android.widget.TextView | clickable=false enabled=true | center=541,874 | bounds=[174,842][908,905]
10: mL | android.widget.Button | clickable=true enabled=true | center=540,1058 | bounds=[129,981][951,1134]
11: mL | android.widget.TextView | clickable=false enabled=true | center=541,1058 | bounds=[174,1026][908,1089]
12: LOW STOCK THRESHOLD | android.widget.TextView | clickable=false enabled=true | center=541,1203 | bounds=[129,1176][953,1229]
13: 1 | android.widget.EditText | clickable=true enabled=true | center=541,1319 | bounds=[129,1250][953,1387]
14: CONCENTRATION VALUE (OPTIONAL) | android.widget.TextView | clickable=false enabled=true | center=541,1454 | bounds=[129,1427][953,1480]
15: 0.25 | android.widget.EditText | clickable=true enabled=true | center=541,1570 | bounds=[129,1501][953,1638]
16: CONCENTRATION UNIT | android.widget.TextView | clickable=false enabled=true | center=541,1706 | bounds=[129,1679][953,1732]
17: mg | android.widget.Button | clickable=true enabled=true | center=540,1850 | bounds=[129,1774][951,1926]
18: mg | android.widget.TextView | clickable=false enabled=true | center=541,1851 | bounds=[174,1819][908,1882]
19: mcg | android.widget.Button | clickable=true enabled=true | center=540,2034 | bounds=[129,1958][951,2110]
20: mcg | android.widget.TextView | clickable=false enabled=true | center=541,2035 | bounds=[174,2003][908,2066]
21: units | android.widget.Button | clickable=true enabled=true | center=540,2218 | bounds=[129,2142][951,2294]
22: units | android.widget.TextView | clickable=false enabled=true | center=541,2219 | bounds=[174,2187][908,2250]
23: VOLUME ML (OPTIONAL) | android.widget.TextView | clickable=false enabled=true | center=541,2337 | bounds=[129,2336][953,2337]
