0: If enabled, Today can save a site with a taken log. | android.widget.TextView | clickable=false enabled=true | center=459,120 | bounds=[129,132][789,108]
1: Rotate suggested sites | android.widget.TextView | clickable=false enabled=true | center=459,182 | bounds=[129,150][789,213]
2: Atlas will suggest the next body site instead of repeating the last one. | android.widget.TextView | clickable=false enabled=true | center=459,287 | bounds=[129,234][789,340]
3: Injection sites | android.widget.TextView | clickable=false enabled=true | center=541,574 | bounds=[129,534][953,613]
4: Site tracking is optional. Save body regions here so dose logging can stay fast later. | android.widget.TextView | clickable=false enabled=true | center=541,708 | bounds=[129,655][953,761]
5: SITE NAME | android.widget.TextView | clickable=false enabled=true | center=541,830 | bounds=[129,803][953,856]
6: Left abdomen | android.widget.EditText | clickable=true enabled=true | center=541,946 | bounds=[129,877][953,1014]
7: BODY AREA | android.widget.TextView | clickable=false enabled=true | center=541,1081 | bounds=[129,1054][953,1107]
8: abdomen | android.widget.Button | clickable=true enabled=true | center=540,1226 | bounds=[129,1150][951,1302]
9: abdomen | android.widget.TextView | clickable=false enabled=true | center=541,1227 | bounds=[174,1195][908,1258]
10: thigh | android.widget.Button | clickable=true enabled=true | center=540,1410 | bounds=[129,1334][951,1486]
11: thigh | android.widget.TextView | clickable=false enabled=true | center=541,1411 | bounds=[174,1379][908,1442]
12: arm | android.widget.Button | clickable=true enabled=true | center=540,1594 | bounds=[129,1518][951,1670]
13: arm | android.widget.TextView | clickable=false enabled=true | center=541,1595 | bounds=[174,1563][908,1626]
14: glute | android.widget.Button | clickable=true enabled=true | center=540,1778 | bounds=[129,1701][951,1854]
15: glute | android.widget.TextView | clickable=false enabled=true | center=541,1778 | bounds=[174,1746][908,1809]
16: other | android.widget.Button | clickable=true enabled=true | center=540,1961 | bounds=[129,1885][951,2037]
17: other | android.widget.TextView | clickable=false enabled=true | center=541,1962 | bounds=[174,1930][908,1993]
18: OPTIONAL SITE NOTE | android.widget.TextView | clickable=false enabled=true | center=541,2106 | bounds=[129,2079][953,2132]
19: Anything private you want to remember. | android.widget.EditText | clickable=true enabled=true | center=541,2222 | bounds=[129,2153][953,2290]
20: Save site | android.widget.Button | clickable=true enabled=true | center=540,2334 | bounds=[129,2331][951,2337]
21: Save site | android.widget.TextView | clickable=false enabled=true | center=540,2351 | bounds=[454,2365][626,2337]
