0: No vial linked | android.widget.Button | clickable=true enabled=true | center=540,106 | bounds=[129,132][951,80]
1: No vial linked | android.widget.TextView | clickable=false enabled=true | center=541,84 | bounds=[174,132][908,36]
2: Starter pen | android.widget.Button | clickable=true enabled=true | center=540,198 | bounds=[129,132][951,264]
3: Starter pen | android.widget.TextView | clickable=false enabled=true | center=541,189 | bounds=[174,157][908,220]
4: Track injection sites | android.widget.TextView | clickable=false enabled=true | center=459,338 | bounds=[129,306][789,369]
5: If enabled, Today can save a site with a taken log. | android.widget.TextView | clickable=false enabled=true | center=459,443 | bounds=[129,390][789,496]
6: Rotate suggested sites | android.widget.TextView | clickable=false enabled=true | center=459,570 | bounds=[129,538][789,601]
7: Atlas will suggest the next body site instead of repeating the last one. | android.widget.TextView | clickable=false enabled=true | center=459,675 | bounds=[129,622][789,728]
8: Injection sites | android.widget.TextView | clickable=false enabled=true | center=541,962 | bounds=[129,922][953,1001]
9: Site tracking is optional. Save body regions here so dose logging can stay fast later. | android.widget.TextView | clickable=false enabled=true | center=541,1096 | bounds=[129,1043][953,1149]
10: SITE NAME | android.widget.TextView | clickable=false enabled=true | center=541,1218 | bounds=[129,1191][953,1244]
11: Left abdomen | android.widget.EditText | clickable=true enabled=true | center=541,1334 | bounds=[129,1265][953,1402]
12: BODY AREA | android.widget.TextView | clickable=false enabled=true | center=541,1469 | bounds=[129,1442][953,1495]
13: abdomen | android.widget.Button | clickable=true enabled=true | center=540,1614 | bounds=[129,1538][951,1690]
14: abdomen | android.widget.TextView | clickable=false enabled=true | center=541,1615 | bounds=[174,1583][908,1646]
15: thigh | android.widget.Button | clickable=true enabled=true | center=540,1798 | bounds=[129,1722][951,1874]
16: thigh | android.widget.TextView | clickable=false enabled=true | center=541,1799 | bounds=[174,1767][908,1830]
17: arm | android.widget.Button | clickable=true enabled=true | center=540,1982 | bounds=[129,1906][951,2058]
18: arm | android.widget.TextView | clickable=false enabled=true | center=541,1983 | bounds=[174,1951][908,2014]
19: glute | android.widget.Button | clickable=true enabled=true | center=540,2166 | bounds=[129,2089][951,2242]
20: glute | android.widget.TextView | clickable=false enabled=true | center=541,2166 | bounds=[174,2134][908,2197]
21: other | android.widget.Button | clickable=true enabled=true | center=540,2305 | bounds=[129,2273][951,2337]
22: other | android.widget.TextView | clickable=false enabled=true | center=541,2328 | bounds=[174,2318][908,2337]
