0: LIBRARY | android.widget.TextView | clickable=false enabled=true | center=540,222 | bounds=[63,195][1017,248]
1: Your saved protocols | android.widget.TextView | clickable=false enabled=true | center=540,319 | bounds=[63,269][1017,369]
2: Library keeps the active routine definitions Atlas uses for Today and future timeline work. | android.widget.TextView | clickable=false enabled=true | center=540,443 | bounds=[63,390][1017,496]
3: 1 saved | android.widget.TextView | clickable=false enabled=true | center=165,586 | bounds=[99,559][230,612]
4: ADD ANOTHER | android.widget.TextView | clickable=false enabled=true | center=541,789 | bounds=[129,762][953,815]
5: You can add separate GLP, peptide, or custom routines without merging their history. | android.widget.TextView | clickable=false enabled=true | center=541,899 | bounds=[129,846][953,952]
6: Inventory | android.widget.Button | clickable=true enabled=true | center=540,1060 | bounds=[129,994][951,1125]
7: Inventory | android.widget.TextView | clickable=false enabled=true | center=540,1060 | bounds=[451,1028][629,1091]
8: Calculator | android.widget.Button | clickable=true enabled=true | center=540,1223 | bounds=[129,1157][951,1288]
9: Calculator | android.widget.TextView | clickable=false enabled=true | center=540,1223 | bounds=[444,1191][636,1254]
10: LOCAL-FIRST | android.widget.TextView | clickable=false enabled=true | center=541,1423 | bounds=[195,1396][887,1449]
11: Expand your routine library | android.widget.TextView | clickable=false enabled=true | center=541,1559 | bounds=[195,1480][887,1638]
12: Each saved protocol stays independent so future reminders, logs, and inventory can remain precise. | android.widget.TextView | clickable=false enabled=true | center=541,1750 | bounds=[195,1670][887,1829]
13: Create another protocol | android.widget.Button | clickable=true enabled=true | center=541,1958 | bounds=[195,1892][887,2023]
14: Create another protocol | android.widget.TextView | clickable=false enabled=true | center=541,1958 | bounds=[317,1926][764,1989]
15: , Today | android.view.View | clickable=true enabled=true | center=108,2296 | bounds=[0,2217][216,2374]
16:  | android.widget.TextView | clickable=false enabled=true | center=107,2267 | bounds=[74,2232][140,2301]
17: Today | android.widget.TextView | clickable=false enabled=true | center=108,2331 | bounds=[64,2303][151,2358]
18: , Timeline | android.view.View | clickable=true enabled=true | center=324,2296 | bounds=[216,2217][432,2374]
19:  | android.widget.TextView | clickable=false enabled=true | center=323,2267 | bounds=[290,2232][356,2301]
20: Timeline | android.widget.TextView | clickable=false enabled=true | center=324,2331 | bounds=[262,2303][386,2358]
21: , Library | android.view.View | clickable=true enabled=true | center=540,2296 | bounds=[432,2217][648,2374]
22: Library | android.widget.TextView | clickable=false enabled=true | center=540,2331 | bounds=[490,2303][590,2358]
23:  | android.widget.TextView | clickable=false enabled=true | center=539,2267 | bounds=[506,2232][572,2301]
24: , Insights | android.view.View | clickable=true enabled=true | center=756,2296 | bounds=[648,2217][864,2374]
25:  | android.widget.TextView | clickable=false enabled=true | center=755,2267 | bounds=[722,2232][788,2301]
26: Insights | android.widget.TextView | clickable=false enabled=true | center=756,2331 | bounds=[699,2303][813,2358]
27: , Settings | android.view.View | clickable=true enabled=true | center=972,2296 | bounds=[864,2217][1080,2374]
28:  | android.widget.TextView | clickable=false enabled=true | center=971,2267 | bounds=[938,2232][1004,2301]
29: Settings | android.widget.TextView | clickable=false enabled=true | center=972,2331 | bounds=[912,2303][1031,2358]
