0: Pause | android.widget.Button | clickable=true enabled=true | center=540,127 | bounds=[129,132][951,122]
1: Stop future occurrences until a later resume revision. | android.widget.TextView | clickable=false enabled=true | center=541,105 | bounds=[174,132][908,77]
2: Resume | android.widget.Button | clickable=true enabled=true | center=540,288 | bounds=[129,153][951,422]
3: Resume | android.widget.TextView | clickable=false enabled=true | center=541,230 | bounds=[174,198][908,261]
4: Restart future occurrences from a chosen date. | android.widget.TextView | clickable=false enabled=true | center=541,324 | bounds=[174,271][908,377]
5: Titration | android.widget.Button | clickable=true enabled=true | center=540,588 | bounds=[129,454][951,722]
6: Titration | android.widget.TextView | clickable=false enabled=true | center=541,531 | bounds=[174,499][908,562]
7: Stage a future phase before returning to the base plan. | android.widget.TextView | clickable=false enabled=true | center=541,625 | bounds=[174,572][908,678]
8: Rest period | android.widget.Button | clickable=true enabled=true | center=540,862 | bounds=[129,754][951,970]
9: Rest period | android.widget.TextView | clickable=false enabled=true | center=541,831 | bounds=[174,799][908,862]
10: Insert a bounded no-dose future window. | android.widget.TextView | clickable=false enabled=true | center=541,899 | bounds=[174,872][908,925]
11: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,1136 | bounds=[129,1001][951,1270]
12: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,1078 | bounds=[174,1046][908,1109]
13: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,1172 | bounds=[174,1119][908,1225]
14: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,1436 | bounds=[129,1301][951,1570]
15: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,1378 | bounds=[174,1346][908,1409]
16: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,1472 | bounds=[174,1419][908,1525]
17: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,1736 | bounds=[129,1602][951,1870]
18: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,1679 | bounds=[174,1647][908,1710]
19: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,1773 | bounds=[174,1720][908,1826]
20: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,2091 | bounds=[129,2064][953,2117]
21: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,2176 | bounds=[129,2149][953,2202]
22: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,2280 | bounds=[129,2223][953,2337]
