0: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,159 | bounds=[129,132][951,185]
1: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,79 | bounds=[174,132][908,25]
2: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,137 | bounds=[174,132][908,141]
3: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,406 | bounds=[129,379][953,432]
4: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,491 | bounds=[129,464][953,517]
5: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,606 | bounds=[129,538][953,674]
6: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,895 | bounds=[129,868][953,921]
7: No extra values are needed for this future change. | android.widget.TextView | clickable=false enabled=true | center=541,1005 | bounds=[129,952][953,1058]
8: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,1279 | bounds=[129,1252][953,1305]
9: 7 days | android.widget.Button | clickable=true enabled=true | center=540,1414 | bounds=[129,1337][951,1490]
10: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,1414 | bounds=[174,1382][908,1445]
11: 14 days | android.widget.Button | clickable=true enabled=true | center=540,1597 | bounds=[129,1521][951,1673]
12: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,1598 | bounds=[174,1566][908,1629]
13: 30 days | android.widget.Button | clickable=true enabled=true | center=540,1781 | bounds=[129,1705][951,1857]
14: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,1782 | bounds=[174,1750][908,1813]
15: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,2078 | bounds=[129,2051][953,2104]
16: Future schedule pauses starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,2214 | bounds=[129,2135][953,2293]
17: Future adherence pauses until the protocol is resumed with a later future revision. | android.widget.TextView | clickable=false enabled=true | center=541,2331 | bounds=[129,2325][953,2337]
