0: Future schedule pauses starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,106 | bounds=[129,132][953,79]
1: Future adherence pauses until the protocol is resumed with a later future revision. | android.widget.TextView | clickable=false enabled=true | center=541,175 | bounds=[129,132][953,217]
2: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,438 | bounds=[129,411][953,464]
3: Before: Sun, Mar 15, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,522 | bounds=[129,495][953,548]
4: After: No future occurrence | android.widget.TextView | clickable=false enabled=true | center=541,607 | bounds=[129,580][953,633]
5: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,854 | bounds=[129,827][953,880]
6: Before: Mar 15, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,938 | bounds=[129,911][953,964]
7: After: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,1023 | bounds=[129,996][953,1049]
8: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,1271 | bounds=[129,1244][953,1297]
9: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1355 | bounds=[129,1328][953,1381]
10: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1440 | bounds=[129,1413][953,1466]
11: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1687 | bounds=[129,1660][953,1713]
12: removed | android.widget.TextView | clickable=false enabled=true | center=240,1793 | bounds=[165,1766][314,1819]
13: Before: Sun, Mar 15, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1899 | bounds=[129,1872][953,1925]
14: removed | android.widget.TextView | clickable=false enabled=true | center=240,2004 | bounds=[165,1977][314,2030]
15: Before: Tue, Mar 17, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2110 | bounds=[129,2083][953,2136]
16: removed | android.widget.TextView | clickable=false enabled=true | center=240,2215 | bounds=[165,2188][314,2241]
17: Before: Thu, Mar 19, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2316 | bounds=[129,2294][953,2337]
18: removed | android.widget.TextView | clickable=false enabled=true | center=240,2368 | bounds=[165,2399][314,2337]
