0: TODAY | android.widget.TextView | clickable=false enabled=true | center=540,222 | bounds=[63,195][1017,248]
1: Welcome to your private workspace | android.widget.TextView | clickable=false enabled=true | center=540,369 | bounds=[63,269][1017,469]
2: Atlas is ready for the first real protocol. Once you add one, Today becomes your next-due home. | android.widget.TextView | clickable=false enabled=true | center=540,543 | bounds=[63,490][1017,596]
3: Discreet mode active | android.widget.TextView | clickable=false enabled=true | center=279,686 | bounds=[99,659][458,712]
4: Guest | android.widget.TextView | clickable=false enabled=true | center=613,686 | bounds=[563,659][663,712]
5: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,889 | bounds=[129,862][953,915]
6: Private GLP protocol | android.widget.TextView | clickable=false enabled=true | center=541,986 | bounds=[129,946][953,1025]
7: Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,1084 | bounds=[129,1057][953,1110]
8: Every Wednesday at 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,1168 | bounds=[129,1141][953,1194]
9: Saved amount: 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1253 | bounds=[129,1226][953,1279]
10: GLP protocol | android.widget.TextView | clickable=false enabled=true | center=276,1359 | bounds=[165,1332][387,1385]
11: Mark taken | android.widget.Button | clickable=true enabled=true | center=265,1492 | bounds=[129,1437][400,1547]
12: Mark taken | android.widget.TextView | clickable=false enabled=true | center=265,1492 | bounds=[168,1465][361,1518]
13: Skip | android.widget.Button | clickable=true enabled=true | center=510,1492 | bounds=[432,1437][587,1547]
14: Skip | android.widget.TextView | clickable=false enabled=true | center=509,1492 | bounds=[471,1465][547,1518]
15: Reschedule | android.widget.Button | clickable=true enabled=true | center=758,1492 | bounds=[619,1437][897,1547]
16: Reschedule | android.widget.TextView | clickable=false enabled=true | center=758,1492 | bounds=[658,1465][857,1518]
17: Change future plan | android.widget.Button | clickable=true enabled=true | center=540,1645 | bounds=[129,1579][951,1710]
18: Change future plan | android.widget.TextView | clickable=false enabled=true | center=540,1645 | bounds=[360,1613][720,1676]
19: UPCOMING | android.widget.TextView | clickable=false enabled=true | center=541,1932 | bounds=[129,1905][953,1958]
20: Private GLP protocol | android.widget.TextView | clickable=false enabled=true | center=412,2022 | bounds=[129,1990][695,2053]
21: Wed, Mar 25, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=412,2085 | bounds=[129,2058][695,2111]
22: 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=843,2038 | bounds=[772,2011][914,2064]
23: Private GLP protocol | android.widget.TextView | clickable=false enabled=true | center=412,2137 | bounds=[129,2142][695,2132]
24: 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=843,2148 | bounds=[772,2163][914,2132]
25: , Today | android.view.View | clickable=true enabled=true | center=108,2296 | bounds=[0,2217][216,2374]
26: Today | android.widget.TextView | clickable=false enabled=true | center=108,2331 | bounds=[64,2303][151,2358]
27:  | android.widget.TextView | clickable=false enabled=true | center=107,2267 | bounds=[74,2232][140,2301]
28: , Timeline | android.view.View | clickable=true enabled=true | center=324,2296 | bounds=[216,2217][432,2374]
29:  | android.widget.TextView | clickable=false enabled=true | center=323,2267 | bounds=[290,2232][356,2301]
30: Timeline | android.widget.TextView | clickable=false enabled=true | center=324,2331 | bounds=[262,2303][386,2358]
31: , Library | android.view.View | clickable=true enabled=true | center=540,2296 | bounds=[432,2217][648,2374]
32:  | android.widget.TextView | clickable=false enabled=true | center=539,2267 | bounds=[506,2232][572,2301]
33: Library | android.widget.TextView | clickable=false enabled=true | center=540,2331 | bounds=[490,2303][590,2358]
34: , Insights | android.view.View | clickable=true enabled=true | center=756,2296 | bounds=[648,2217][864,2374]
35:  | android.widget.TextView | clickable=false enabled=true | center=755,2267 | bounds=[722,2232][788,2301]
36: Insights | android.widget.TextView | clickable=false enabled=true | center=756,2331 | bounds=[699,2303][813,2358]
37: , Settings | android.view.View | clickable=true enabled=true | center=972,2296 | bounds=[864,2217][1080,2374]
38:  | android.widget.TextView | clickable=false enabled=true | center=971,2267 | bounds=[938,2232][1004,2301]
39: Settings | android.widget.TextView | clickable=false enabled=true | center=972,2331 | bounds=[912,2303][1031,2358]
