0: PROTOCOL DETAIL | android.widget.TextView | clickable=false enabled=true | center=540,222 | bounds=[63,195][1017,248]
1: Wegovy | android.widget.TextView | clickable=false enabled=true | center=540,319 | bounds=[63,269][1017,369]
2: Protocol detail is the safe home for future-only edits, audit history, and revision-aware previews. | android.widget.TextView | clickable=false enabled=true | center=540,443 | bounds=[63,390][1017,496]
3: active | android.widget.TextView | clickable=false enabled=true | center=151,586 | bounds=[99,559][202,612]
4: CURRENT FUTURE PLAN | android.widget.TextView | clickable=false enabled=true | center=541,789 | bounds=[129,762][953,815]
5: Every Wednesday at 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,886 | bounds=[129,846][953,925]
6: 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,984 | bounds=[129,957][953,1010]
7: Next due Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,1068 | bounds=[129,1041][953,1094]
8: Effective from 2026-03-13 | android.widget.TextView | clickable=false enabled=true | center=541,1153 | bounds=[129,1126][953,1179]
9: LINKED INFRASTRUCTURE | android.widget.TextView | clickable=false enabled=true | center=541,1400 | bounds=[129,1373][953,1426]
10: Reminder mode: full detail | android.widget.TextView | clickable=false enabled=true | center=541,1484 | bounds=[129,1457][953,1510]
11: Saved vials: 0 | android.widget.TextView | clickable=false enabled=true | center=541,1569 | bounds=[129,1542][953,1595]
12: Saved sites: 0 | android.widget.TextView | clickable=false enabled=true | center=541,1653 | bounds=[129,1626][953,1679]
13: PROTOCOL CHANGE STUDIO | android.widget.TextView | clickable=false enabled=true | center=541,1901 | bounds=[129,1874][953,1927]
14: Preview future-only changes over 7, 14, and 30 days before committing anything. | android.widget.TextView | clickable=false enabled=true | center=541,2011 | bounds=[129,1958][953,2064]
15: Change future plan | android.widget.Button | clickable=true enabled=true | center=540,2162 | bounds=[129,2096][951,2227]
16: Change future plan | android.widget.TextView | clickable=false enabled=true | center=540,2162 | bounds=[360,2130][720,2193]
