0: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,170 | bounds=[129,143][953,196]
1: Before: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,254 | bounds=[129,227][953,280]
2: After: Mar 15, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,339 | bounds=[129,312][953,365]
3: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,587 | bounds=[129,560][953,613]
4: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,671 | bounds=[129,644][953,697]
5: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,756 | bounds=[129,729][953,782]
6: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1003 | bounds=[129,976][953,1029]
7: added | android.widget.TextView | clickable=false enabled=true | center=218,1109 | bounds=[165,1082][270,1135]
8: After: Sun, Mar 15, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1215 | bounds=[129,1188][953,1241]
9: added | android.widget.TextView | clickable=false enabled=true | center=218,1320 | bounds=[165,1293][270,1346]
10: After: Tue, Mar 17, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1426 | bounds=[129,1399][953,1452]
11: added | android.widget.TextView | clickable=false enabled=true | center=218,1531 | bounds=[165,1504][270,1557]
12: After: Thu, Mar 19, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1637 | bounds=[129,1610][953,1663]
13: added | android.widget.TextView | clickable=false enabled=true | center=218,1742 | bounds=[165,1715][270,1768]
14: After: Sat, Mar 21, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,1848 | bounds=[129,1821][953,1874]
15: added | android.widget.TextView | clickable=false enabled=true | center=218,1953 | bounds=[165,1926][270,1979]
16: After: Mon, Mar 23, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2059 | bounds=[129,2032][953,2085]
17: added | android.widget.TextView | clickable=false enabled=true | center=218,2164 | bounds=[165,2137][270,2190]
18: After: Wed, Mar 25, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2270 | bounds=[129,2243][953,2296]
19: added | android.widget.TextView | clickable=false enabled=true | center=218,2343 | bounds=[165,2348][270,2337]
