0: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,134 | bounds=[129,132][953,136]
1: 7 days | android.widget.Button | clickable=true enabled=true | center=540,245 | bounds=[129,168][951,321]
2: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,245 | bounds=[174,213][908,276]
3: 14 days | android.widget.Button | clickable=true enabled=true | center=540,428 | bounds=[129,352][951,504]
4: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,429 | bounds=[174,397][908,460]
5: 30 days | android.widget.Button | clickable=true enabled=true | center=540,612 | bounds=[129,536][951,688]
6: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,613 | bounds=[174,581][908,644]
7: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,909 | bounds=[129,882][953,935]
8: Future schedule resumes starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,1045 | bounds=[129,966][953,1124]
9: Future adherence resumes against the restored plan from the selected date. | android.widget.TextView | clickable=false enabled=true | center=541,1209 | bounds=[129,1156][953,1262]
10: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,1483 | bounds=[129,1456][953,1509]
11: Before: No future occurrence | android.widget.TextView | clickable=false enabled=true | center=541,1567 | bounds=[129,1540][953,1593]
12: After: Sun, Mar 15, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,1652 | bounds=[129,1625][953,1678]
13: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,1899 | bounds=[129,1872][953,1925]
14: Before: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,1983 | bounds=[129,1956][953,2009]
15: After: Mar 15, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,2068 | bounds=[129,2041][953,2094]
16: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,2313 | bounds=[129,2289][953,2337]
17: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,2355 | bounds=[129,2373][953,2337]
