0: Titration | android.widget.Button | clickable=true enabled=true | center=540,74 | bounds=[129,132][951,16]
1: Rest period | android.widget.Button | clickable=true enabled=true | center=540,198 | bounds=[129,132][951,264]
2: Rest period | android.widget.TextView | clickable=false enabled=true | center=541,144 | bounds=[174,132][908,156]
3: Insert a bounded no-dose future window. | android.widget.TextView | clickable=false enabled=true | center=541,193 | bounds=[174,166][908,219]
4: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,430 | bounds=[129,295][951,564]
5: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,372 | bounds=[174,340][908,403]
6: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,466 | bounds=[174,413][908,519]
7: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,730 | bounds=[129,595][951,864]
8: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,672 | bounds=[174,640][908,703]
9: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,766 | bounds=[174,713][908,819]
10: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,1030 | bounds=[129,896][951,1164]
11: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,973 | bounds=[174,941][908,1004]
12: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,1067 | bounds=[174,1014][908,1120]
13: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,1385 | bounds=[129,1358][953,1411]
14: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,1470 | bounds=[129,1443][953,1496]
15: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,1585 | bounds=[129,1517][953,1653]
16: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,1874 | bounds=[129,1847][953,1900]
17: REPEAT EVERY N DAYS | android.widget.TextView | clickable=false enabled=true | center=541,1959 | bounds=[129,1932][953,1985]
18: 2 | android.widget.EditText | clickable=true enabled=true | center=541,2075 | bounds=[129,2006][953,2143]
19: TIME OF DAY | android.widget.TextView | clickable=false enabled=true | center=541,2200 | bounds=[129,2173][953,2226]
20: 08:00 | android.widget.EditText | clickable=true enabled=true | center=541,2292 | bounds=[129,2247][953,2337]
