0: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,207 | bounds=[129,180][953,233]
1: REPEAT EVERY N DAYS | android.widget.TextView | clickable=false enabled=true | center=541,292 | bounds=[129,265][953,318]
2: 2 | android.widget.EditText | clickable=true enabled=true | center=541,408 | bounds=[129,339][953,476]
3: TIME OF DAY | android.widget.TextView | clickable=false enabled=true | center=541,533 | bounds=[129,506][953,559]
4: 08:00 | android.widget.EditText | clickable=true enabled=true | center=541,649 | bounds=[129,580][953,717]
5: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,936 | bounds=[129,909][953,962]
6: 7 days | android.widget.Button | clickable=true enabled=true | center=540,1071 | bounds=[129,994][951,1147]
7: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,1071 | bounds=[174,1039][908,1102]
8: 14 days | android.widget.Button | clickable=true enabled=true | center=540,1254 | bounds=[129,1178][951,1330]
9: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,1255 | bounds=[174,1223][908,1286]
10: 30 days | android.widget.Button | clickable=true enabled=true | center=540,1438 | bounds=[129,1362][951,1514]
11: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,1439 | bounds=[174,1407][908,1470]
12: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1735 | bounds=[129,1708][953,1761]
13: Future cadence changes to every 2 days at 08:00 starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,1911 | bounds=[129,1792][953,2029]
14: Future adherence compares against the updated interval only. | android.widget.TextView | clickable=false enabled=true | center=541,2114 | bounds=[129,2061][953,2167]
15: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,2349 | bounds=[129,2361][953,2337]
