0: After: Mar 15, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,96 | bounds=[129,132][953,59]
1: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,281 | bounds=[129,254][953,307]
2: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,365 | bounds=[129,338][953,391]
3: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,450 | bounds=[129,423][953,476]
4: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,697 | bounds=[129,670][953,723]
5: moved | android.widget.TextView | clickable=false enabled=true | center=223,803 | bounds=[165,776][280,829]
6: Before: Thu, Mar 19, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,909 | bounds=[129,882][953,935]
7: After: Sun, Mar 15, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,967 | bounds=[129,940][953,993]
8: moved | android.widget.TextView | clickable=false enabled=true | center=223,1072 | bounds=[165,1045][280,1098]
9: Before: Thu, Mar 26, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1178 | bounds=[129,1151][953,1204]
10: After: Tue, Mar 17, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1236 | bounds=[129,1209][953,1262]
11: added | android.widget.TextView | clickable=false enabled=true | center=218,1341 | bounds=[165,1314][270,1367]
12: After: Thu, Mar 19, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1447 | bounds=[129,1420][953,1473]
13: added | android.widget.TextView | clickable=false enabled=true | center=218,1552 | bounds=[165,1525][270,1578]
14: After: Sat, Mar 21, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1658 | bounds=[129,1631][953,1684]
15: added | android.widget.TextView | clickable=false enabled=true | center=218,1763 | bounds=[165,1736][270,1789]
16: After: Mon, Mar 23, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1869 | bounds=[129,1842][953,1895]
17: added | android.widget.TextView | clickable=false enabled=true | center=218,1974 | bounds=[165,1947][270,2000]
18: After: Wed, Mar 25, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,2080 | bounds=[129,2053][953,2106]
19: added | android.widget.TextView | clickable=false enabled=true | center=218,2185 | bounds=[165,2158][270,2211]
20: After: Fri, Mar 27, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,2291 | bounds=[129,2264][953,2317]
