0: Rest period | android.widget.Button | clickable=true enabled=true | center=540,125 | bounds=[129,132][951,118]
1: Rest period | android.widget.TextView | clickable=false enabled=true | center=541,71 | bounds=[174,132][908,10]
2: Insert a bounded no-dose future window. | android.widget.TextView | clickable=false enabled=true | center=541,103 | bounds=[174,132][908,73]
3: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,284 | bounds=[129,149][951,418]
4: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,226 | bounds=[174,194][908,257]
5: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,320 | bounds=[174,267][908,373]
6: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,584 | bounds=[129,449][951,718]
7: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,526 | bounds=[174,494][908,557]
8: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,620 | bounds=[174,567][908,673]
9: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,884 | bounds=[129,750][951,1018]
10: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,827 | bounds=[174,795][908,858]
11: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,921 | bounds=[174,868][908,974]
12: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,1239 | bounds=[129,1212][953,1265]
13: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,1324 | bounds=[129,1297][953,1350]
14: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,1439 | bounds=[129,1371][953,1507]
15: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,1728 | bounds=[129,1701][953,1754]
16: FUTURE SAVED AMOUNT | android.widget.TextView | clickable=false enabled=true | center=541,1813 | bounds=[129,1786][953,1839]
17: Future saved amount | android.widget.EditText | clickable=true enabled=true | center=541,1929 | bounds=[129,1860][953,1997]
18: DOSE UNIT | android.widget.TextView | clickable=false enabled=true | center=541,2054 | bounds=[129,2027][953,2080]
19: mg | android.widget.EditText | clickable=true enabled=true | center=541,2170 | bounds=[129,2101][953,2238]
