0: 30 days | android.widget.Button | clickable=true enabled=true | center=540,101 | bounds=[129,132][951,69]
1: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,79 | bounds=[174,132][908,25]
2: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,290 | bounds=[129,263][953,316]
3: Future saved amount changes to 0.5 mg starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,466 | bounds=[129,347][953,584]
4: Future adherence uses the new saved amount from the effective date forward. | android.widget.TextView | clickable=false enabled=true | center=541,669 | bounds=[129,616][953,722]
5: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,943 | bounds=[129,916][953,969]
6: Before: Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,1027 | bounds=[129,1000][953,1053]
7: After: Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,1112 | bounds=[129,1085][953,1138]
8: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,1359 | bounds=[129,1332][953,1385]
9: Before: Mar 18, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,1443 | bounds=[129,1416][953,1469]
10: After: Mar 18, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,1528 | bounds=[129,1501][953,1554]
11: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,1776 | bounds=[129,1749][953,1802]
12: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1860 | bounds=[129,1833][953,1886]
13: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1945 | bounds=[129,1918][953,1971]
14: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,2192 | bounds=[129,2165][953,2218]
15: rewired | android.widget.TextView | clickable=false enabled=true | center=229,2298 | bounds=[165,2271][293,2324]
16: Before: Wed, Mar 18, 8:00 AM · 0.25 mg | android.widget.TextView | clickable=false enabled=true | center=541,2357 | bounds=[129,2377][953,2337]
