0: Back to protocol | android.view.ViewGroup | clickable=true enabled=true | center=540,222 | bounds=[63,195][1017,248]
1: Back to protocol | android.widget.TextView | clickable=false enabled=true | center=540,222 | bounds=[63,195][1017,248]
2: PROTOCOL CHANGE STUDIO | android.widget.TextView | clickable=false enabled=true | center=540,338 | bounds=[63,311][1017,364]
3: Wegovy | android.widget.TextView | clickable=false enabled=true | center=540,435 | bounds=[63,385][1017,485]
4: Preview the downstream impact before committing anything. Atlas keeps past logs immutable. | android.widget.TextView | clickable=false enabled=true | center=540,559 | bounds=[63,506][1017,612]
5: 14-day preview | android.widget.TextView | clickable=false enabled=true | center=230,702 | bounds=[99,675][361,728]
6: CHANGE TYPE | android.widget.TextView | clickable=false enabled=true | center=541,905 | bounds=[129,878][953,931]
7: Future dose | android.widget.Button | clickable=true enabled=true | center=540,1098 | bounds=[129,963][951,1232]
8: Future dose | android.widget.TextView | clickable=false enabled=true | center=541,1040 | bounds=[174,1008][908,1071]
9: Change the saved amount from an effective date forward. | android.widget.TextView | clickable=false enabled=true | center=541,1134 | bounds=[174,1081][908,1187]
10: Time of day | android.widget.Button | clickable=true enabled=true | center=540,1398 | bounds=[129,1263][951,1532]
11: Time of day | android.widget.TextView | clickable=false enabled=true | center=541,1340 | bounds=[174,1308][908,1371]
12: Move future scheduled time without touching history. | android.widget.TextView | clickable=false enabled=true | center=541,1434 | bounds=[174,1381][908,1487]
13: Weekday | android.widget.Button | clickable=true enabled=true | center=540,1672 | bounds=[129,1564][951,1779]
14: Weekday | android.widget.TextView | clickable=false enabled=true | center=541,1641 | bounds=[174,1609][908,1672]
15: Switch to a different weekly day. | android.widget.TextView | clickable=false enabled=true | center=541,1709 | bounds=[174,1682][908,1735]
16: Every N days | android.widget.Button | clickable=true enabled=true | center=540,1946 | bounds=[129,1811][951,2080]
17: Every N days | android.widget.TextView | clickable=false enabled=true | center=541,1888 | bounds=[174,1856][908,1919]
18: Use a fixed interval cadence instead of a weekday. | android.widget.TextView | clickable=false enabled=true | center=541,1982 | bounds=[174,1929][908,2035]
19: Pause | android.widget.Button | clickable=true enabled=true | center=540,2224 | bounds=[129,2111][951,2337]
20: Pause | android.widget.TextView | clickable=false enabled=true | center=541,2188 | bounds=[174,2156][908,2219]
21: Stop future occurrences until a later resume revision. | android.widget.TextView | clickable=false enabled=true | center=541,2282 | bounds=[174,2229][908,2335]
