0: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,84 | bounds=[129,132][953,35]
1: Before: Sun, Mar 15, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,126 | bounds=[129,132][953,119]
2: After: No future occurrence | android.widget.TextView | clickable=false enabled=true | center=541,178 | bounds=[129,151][953,204]
3: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,425 | bounds=[129,398][953,451]
4: Before: Mar 15, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,509 | bounds=[129,482][953,535]
5: After: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,594 | bounds=[129,567][953,620]
6: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,842 | bounds=[129,815][953,868]
7: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,926 | bounds=[129,899][953,952]
8: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1011 | bounds=[129,984][953,1037]
9: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1258 | bounds=[129,1231][953,1284]
10: removed | android.widget.TextView | clickable=false enabled=true | center=240,1364 | bounds=[165,1337][314,1390]
11: Before: Sun, Mar 15, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1470 | bounds=[129,1443][953,1496]
12: removed | android.widget.TextView | clickable=false enabled=true | center=240,1575 | bounds=[165,1548][314,1601]
13: Before: Tue, Mar 17, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1681 | bounds=[129,1654][953,1707]
14: removed | android.widget.TextView | clickable=false enabled=true | center=240,1786 | bounds=[165,1759][314,1812]
15: Before: Thu, Mar 19, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,1892 | bounds=[129,1865][953,1918]
16: removed | android.widget.TextView | clickable=false enabled=true | center=240,1997 | bounds=[165,1970][314,2023]
17: Before: Sat, Mar 21, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,2103 | bounds=[129,2076][953,2129]
18: removed | android.widget.TextView | clickable=false enabled=true | center=240,2208 | bounds=[165,2181][314,2234]
19: Before: Mon, Mar 23, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,2312 | bounds=[129,2287][953,2337]
20: removed | android.widget.TextView | clickable=false enabled=true | center=240,2365 | bounds=[165,2392][314,2337]
