0: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,196 | bounds=[129,132][951,259]
1: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,115 | bounds=[174,132][908,98]
2: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,173 | bounds=[174,132][908,214]
3: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,425 | bounds=[129,290][951,559]
4: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,367 | bounds=[174,335][908,398]
5: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,461 | bounds=[174,408][908,514]
6: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,725 | bounds=[129,591][951,859]
7: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,668 | bounds=[174,636][908,699]
8: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,762 | bounds=[174,709][908,815]
9: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,1080 | bounds=[129,1053][953,1106]
10: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,1165 | bounds=[129,1138][953,1191]
11: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,1280 | bounds=[129,1212][953,1348]
12: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,1569 | bounds=[129,1542][953,1595]
13: No extra values are needed for this future change. | android.widget.TextView | clickable=false enabled=true | center=541,1679 | bounds=[129,1626][953,1732]
14: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,1953 | bounds=[129,1926][953,1979]
15: 7 days | android.widget.Button | clickable=true enabled=true | center=540,2088 | bounds=[129,2011][951,2164]
16: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,2088 | bounds=[174,2056][908,2119]
17: 14 days | android.widget.Button | clickable=true enabled=true | center=540,2266 | bounds=[129,2195][951,2337]
18: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,2272 | bounds=[174,2240][908,2303]
19: 30 days | android.widget.Button | clickable=true enabled=true | center=540,2358 | bounds=[129,2379][951,2337]
