0: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,84 | bounds=[129,132][951,36]
1: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,257 | bounds=[129,230][953,283]
2: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,342 | bounds=[129,315][953,368]
3: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,457 | bounds=[129,389][953,525]
4: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,746 | bounds=[129,719][953,772]
5: No extra values are needed for this future change. | android.widget.TextView | clickable=false enabled=true | center=541,856 | bounds=[129,803][953,909]
6: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,1130 | bounds=[129,1103][953,1156]
7: 7 days | android.widget.Button | clickable=true enabled=true | center=540,1265 | bounds=[129,1188][951,1341]
8: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,1265 | bounds=[174,1233][908,1296]
9: 14 days | android.widget.Button | clickable=true enabled=true | center=540,1448 | bounds=[129,1372][951,1524]
10: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,1449 | bounds=[174,1417][908,1480]
11: 30 days | android.widget.Button | clickable=true enabled=true | center=540,1632 | bounds=[129,1556][951,1708]
12: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,1633 | bounds=[174,1601][908,1664]
13: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1929 | bounds=[129,1902][953,1955]
14: Future schedule pauses starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,2065 | bounds=[129,1986][953,2144]
15: Future adherence pauses until the protocol is resumed with a later future revision. | android.widget.TextView | clickable=false enabled=true | center=541,2229 | bounds=[129,2176][953,2282]
