0: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,197 | bounds=[129,170][953,223]
1: Future schedule pauses starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,333 | bounds=[129,254][953,412]
2: Future adherence pauses until the protocol is resumed with a later future revision. | android.widget.TextView | clickable=false enabled=true | center=541,497 | bounds=[129,444][953,550]
3: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,771 | bounds=[129,744][953,797]
4: Before: Sun, Mar 15, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,855 | bounds=[129,828][953,881]
5: After: No future occurrence | android.widget.TextView | clickable=false enabled=true | center=541,940 | bounds=[129,913][953,966]
6: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,1187 | bounds=[129,1160][953,1213]
7: Before: Mar 15, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,1271 | bounds=[129,1244][953,1297]
8: After: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,1356 | bounds=[129,1329][953,1382]
9: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,1604 | bounds=[129,1577][953,1630]
10: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1688 | bounds=[129,1661][953,1714]
11: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1773 | bounds=[129,1746][953,1799]
12: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,2020 | bounds=[129,1993][953,2046]
13: removed | android.widget.TextView | clickable=false enabled=true | center=240,2126 | bounds=[165,2099][314,2152]
14: Before: Sun, Mar 15, 8:00 AM · 1 mg | android.widget.TextView | clickable=false enabled=true | center=541,2232 | bounds=[129,2205][953,2258]
15: removed | android.widget.TextView | clickable=false enabled=true | center=240,2324 | bounds=[165,2310][314,2337]
