0: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,134 | bounds=[129,132][953,135]
1: No extra values are needed for this future change. | android.widget.TextView | clickable=false enabled=true | center=541,219 | bounds=[129,166][953,272]
2: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,493 | bounds=[129,466][953,519]
3: 7 days | android.widget.Button | clickable=true enabled=true | center=540,628 | bounds=[129,551][951,704]
4: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,628 | bounds=[174,596][908,659]
5: 14 days | android.widget.Button | clickable=true enabled=true | center=540,811 | bounds=[129,735][951,887]
6: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,812 | bounds=[174,780][908,843]
7: 30 days | android.widget.Button | clickable=true enabled=true | center=540,995 | bounds=[129,919][951,1071]
8: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,996 | bounds=[174,964][908,1027]
9: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1292 | bounds=[129,1265][953,1318]
10: Future schedule resumes starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,1428 | bounds=[129,1349][953,1507]
11: Future adherence resumes against the restored plan from the selected date. | android.widget.TextView | clickable=false enabled=true | center=541,1592 | bounds=[129,1539][953,1645]
12: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,1866 | bounds=[129,1839][953,1892]
13: Before: No future occurrence | android.widget.TextView | clickable=false enabled=true | center=541,1950 | bounds=[129,1923][953,1976]
14: After: Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,2035 | bounds=[129,2008][953,2061]
15: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,2282 | bounds=[129,2255][953,2308]
16: Before: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,2338 | bounds=[129,2339][953,2337]
