0: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,127 | bounds=[129,132][953,122]
1: FUTURE TIME OF DAY | android.widget.TextView | clickable=false enabled=true | center=541,181 | bounds=[129,154][953,207]
2: 09:30 | android.widget.EditText | clickable=true enabled=true | center=541,297 | bounds=[129,228][953,365]
3: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,584 | bounds=[129,557][953,610]
4: 7 days | android.widget.Button | clickable=true enabled=true | center=540,719 | bounds=[129,642][951,795]
5: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,719 | bounds=[174,687][908,750]
6: 14 days | android.widget.Button | clickable=true enabled=true | center=540,902 | bounds=[129,826][951,978]
7: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,903 | bounds=[174,871][908,934]
8: 30 days | android.widget.Button | clickable=true enabled=true | center=540,1086 | bounds=[129,1010][951,1162]
9: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,1087 | bounds=[174,1055][908,1118]
10: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1382 | bounds=[129,1355][953,1408]
11: Future scheduled time changes to 09:30 starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,1558 | bounds=[129,1439][953,1676]
12: Future adherence uses the updated scheduled time from the effective date forward. | android.widget.TextView | clickable=false enabled=true | center=541,1761 | bounds=[129,1708][953,1814]
13: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,2036 | bounds=[129,2009][953,2062]
14: Before: Wed, Mar 18, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,2120 | bounds=[129,2093][953,2146]
15: After: Wed, Mar 18, 9:30 AM | android.widget.TextView | clickable=false enabled=true | center=541,2205 | bounds=[129,2178][953,2231]
