0: Rest period | android.widget.Button | clickable=true enabled=true | center=540,123 | bounds=[129,132][951,113]
1: Rest period | android.widget.TextView | clickable=false enabled=true | center=541,69 | bounds=[174,132][908,5]
2: Insert a bounded no-dose future window. | android.widget.TextView | clickable=false enabled=true | center=541,100 | bounds=[174,132][908,68]
3: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,279 | bounds=[129,144][951,413]
4: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,221 | bounds=[174,189][908,252]
5: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,315 | bounds=[174,262][908,368]
6: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,579 | bounds=[129,444][951,713]
7: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,521 | bounds=[174,489][908,552]
8: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,615 | bounds=[174,562][908,668]
9: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,879 | bounds=[129,745][951,1013]
10: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,822 | bounds=[174,790][908,853]
11: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,916 | bounds=[174,863][908,969]
12: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,1234 | bounds=[129,1207][953,1260]
13: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,1319 | bounds=[129,1292][953,1345]
14: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,1434 | bounds=[129,1366][953,1502]
15: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,1723 | bounds=[129,1696][953,1749]
16: FUTURE TIME OF DAY | android.widget.TextView | clickable=false enabled=true | center=541,1808 | bounds=[129,1781][953,1834]
17: 08:00 | android.widget.EditText | clickable=true enabled=true | center=541,1924 | bounds=[129,1855][953,1992]
18: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,2211 | bounds=[129,2184][953,2237]
19: 7 days | android.widget.Button | clickable=true enabled=true | center=540,2303 | bounds=[129,2269][951,2337]
20: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,2326 | bounds=[174,2314][908,2337]
