0: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,216 | bounds=[129,189][953,242]
1: Future timezone behavior changes to America/Los_Angeles starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,431 | bounds=[129,273][953,589]
2: Future times keep the local clock after the timezone change. | android.widget.TextView | clickable=false enabled=true | center=541,674 | bounds=[129,621][953,727]
3: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,948 | bounds=[129,921][953,974]
4: Before: No future occurrence | android.widget.TextView | clickable=false enabled=true | center=541,1032 | bounds=[129,1005][953,1058]
5: After: No future occurrence | android.widget.TextView | clickable=false enabled=true | center=541,1117 | bounds=[129,1090][953,1143]
6: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,1365 | bounds=[129,1338][953,1391]
7: Before: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,1449 | bounds=[129,1422][953,1475]
8: After: No upcoming reminder | android.widget.TextView | clickable=false enabled=true | center=541,1534 | bounds=[129,1507][953,1560]
9: INVENTORY FORECAST | android.widget.TextView | clickable=false enabled=true | center=541,1781 | bounds=[129,1754][953,1807]
10: Before: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1865 | bounds=[129,1838][953,1891]
11: After: No depletion forecast yet | android.widget.TextView | clickable=false enabled=true | center=541,1950 | bounds=[129,1923][953,1976]
12: OCCURRENCE CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,2197 | bounds=[129,2170][953,2223]
13: No visible future occurrence changes inside this preview window. | android.widget.TextView | clickable=false enabled=true | center=541,2296 | bounds=[129,2254][953,2337]
