0: Titration | android.widget.Button | clickable=true enabled=true | center=540,82 | bounds=[129,132][951,32]
1: Rest period | android.widget.Button | clickable=true enabled=true | center=540,206 | bounds=[129,132][951,280]
2: Rest period | android.widget.TextView | clickable=false enabled=true | center=541,152 | bounds=[174,132][908,172]
3: Insert a bounded no-dose future window. | android.widget.TextView | clickable=false enabled=true | center=541,209 | bounds=[174,182][908,235]
4: Recovery policy | android.widget.Button | clickable=true enabled=true | center=540,446 | bounds=[129,311][951,580]
5: Recovery policy | android.widget.TextView | clickable=false enabled=true | center=541,388 | bounds=[174,356][908,419]
6: Change how future missed-dose semantics are interpreted. | android.widget.TextView | clickable=false enabled=true | center=541,482 | bounds=[174,429][908,535]
7: Timezone / travel | android.widget.Button | clickable=true enabled=true | center=540,746 | bounds=[129,611][951,880]
8: Timezone / travel | android.widget.TextView | clickable=false enabled=true | center=541,688 | bounds=[174,656][908,719]
9: Adjust future timezone behavior without duplicating history. | android.widget.TextView | clickable=false enabled=true | center=541,782 | bounds=[174,729][908,835]
10: Vial handoff | android.widget.Button | clickable=true enabled=true | center=540,1046 | bounds=[129,912][951,1180]
11: Vial handoff | android.widget.TextView | clickable=false enabled=true | center=541,989 | bounds=[174,957][908,1020]
12: Plan when future logs should switch to another vial. | android.widget.TextView | clickable=false enabled=true | center=541,1083 | bounds=[174,1030][908,1136]
13: EFFECTIVE DATE | android.widget.TextView | clickable=false enabled=true | center=541,1401 | bounds=[129,1374][953,1427]
14: APPLY THIS FUTURE CHANGE FROM | android.widget.TextView | clickable=false enabled=true | center=541,1486 | bounds=[129,1459][953,1512]
15: 2026-03-13 | android.widget.EditText | clickable=true enabled=true | center=541,1601 | bounds=[129,1533][953,1669]
16: CHANGE VALUES | android.widget.TextView | clickable=false enabled=true | center=541,1890 | bounds=[129,1863][953,1916]
17: Sun | android.widget.Button | clickable=true enabled=true | center=540,2024 | bounds=[129,1948][951,2100]
18: Sun | android.widget.TextView | clickable=false enabled=true | center=541,2025 | bounds=[174,1993][908,2056]
19: Mon | android.widget.Button | clickable=true enabled=true | center=540,2209 | bounds=[129,2132][951,2285]
20: Mon | android.widget.TextView | clickable=false enabled=true | center=541,2209 | bounds=[174,2177][908,2240]
21: Tue | android.widget.Button | clickable=true enabled=true | center=540,2327 | bounds=[129,2316][951,2337]
22: Tue | android.widget.TextView | clickable=false enabled=true | center=541,2349 | bounds=[174,2361][908,2337]
