0: 08:00 | android.widget.EditText | clickable=true enabled=true | center=541,124 | bounds=[129,132][953,115]
1: PREVIEW WINDOW | android.widget.TextView | clickable=false enabled=true | center=541,334 | bounds=[129,307][953,360]
2: 7 days | android.widget.Button | clickable=true enabled=true | center=540,469 | bounds=[129,392][951,545]
3: 7 days | android.widget.TextView | clickable=false enabled=true | center=541,469 | bounds=[174,437][908,500]
4: 14 days | android.widget.Button | clickable=true enabled=true | center=540,652 | bounds=[129,576][951,728]
5: 14 days | android.widget.TextView | clickable=false enabled=true | center=541,653 | bounds=[174,621][908,684]
6: 30 days | android.widget.Button | clickable=true enabled=true | center=540,836 | bounds=[129,760][951,912]
7: 30 days | android.widget.TextView | clickable=false enabled=true | center=541,837 | bounds=[174,805][908,868]
8: WHAT CHANGES | android.widget.TextView | clickable=false enabled=true | center=541,1133 | bounds=[129,1106][953,1159]
9: Future cadence moves to Thursday at 08:00 starting 2026-03-13. | android.widget.TextView | clickable=false enabled=true | center=541,1309 | bounds=[129,1190][953,1427]
10: Future adherence compares against the updated weekly plan only. | android.widget.TextView | clickable=false enabled=true | center=541,1512 | bounds=[129,1459][953,1565]
11: NEXT DUE | android.widget.TextView | clickable=false enabled=true | center=541,1786 | bounds=[129,1759][953,1812]
12: Before: Wed, Mar 18, 9:30 AM | android.widget.TextView | clickable=false enabled=true | center=541,1870 | bounds=[129,1843][953,1896]
13: After: Thu, Mar 19, 8:00 AM | android.widget.TextView | clickable=false enabled=true | center=541,1955 | bounds=[129,1928][953,1981]
14: UPCOMING REMINDERS | android.widget.TextView | clickable=false enabled=true | center=541,2202 | bounds=[129,2175][953,2228]
15: Before: Mar 18, 9:30 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,2286 | bounds=[129,2259][953,2312]
16: After: Mar 19, 8:00 AM · Wegovy | android.widget.TextView | clickable=false enabled=true | center=541,2341 | bounds=[129,2344][953,2337]
