0: TODAY | android.widget.TextView | clickable=false enabled=true | center=540,222 | bounds=[63,195][1017,248]
1: Welcome to your private workspace | android.widget.TextView | clickable=false enabled=true | center=540,369 | bounds=[63,269][1017,469]
2: Atlas is ready for the first real protocol. Once you add one, Today becomes your next-due home. | android.widget.TextView | clickable=false enabled=true | center=540,543 | bounds=[63,490][1017,596]
3: Discreet mode active | android.widget.TextView | clickable=false enabled=true | center=279,686 | bounds=[99,659][458,712]
4: Guest | android.widget.TextView | clickable=false enabled=true | center=613,686 | bounds=[563,659][663,712]
5: WHAT UNLOCKS NEXT | android.widget.TextView | clickable=false enabled=true | center=541,889 | bounds=[129,862][953,915]
6: Timeline grows from real logs, not placeholders. | android.widget.TextView | clickable=false enabled=true | center=585,974 | bounds=[181,947][989,1000]
7: Library now stores the local source of truth for each routine. | android.widget.TextView | clickable=false enabled=true | center=592,1084 | bounds=[181,1031][1003,1137]
8: Insights stay descriptive and privacy-aware. | android.widget.TextView | clickable=false enabled=true | center=547,1196 | bounds=[181,1169][913,1222]
9: , Today | android.view.View | clickable=true enabled=true | center=108,2296 | bounds=[0,2217][216,2374]
10: Today | android.widget.TextView | clickable=false enabled=true | center=108,2331 | bounds=[64,2303][151,2358]
11:  | android.widget.TextView | clickable=false enabled=true | center=107,2267 | bounds=[74,2232][140,2301]
12: , Timeline | android.view.View | clickable=true enabled=true | center=324,2296 | bounds=[216,2217][432,2374]
13:  | android.widget.TextView | clickable=false enabled=true | center=323,2267 | bounds=[290,2232][356,2301]
14: Timeline | android.widget.TextView | clickable=false enabled=true | center=324,2331 | bounds=[262,2303][386,2358]
15: , Library | android.view.View | clickable=true enabled=true | center=540,2296 | bounds=[432,2217][648,2374]
16:  | android.widget.TextView | clickable=false enabled=true | center=539,2267 | bounds=[506,2232][572,2301]
17: Library | android.widget.TextView | clickable=false enabled=true | center=540,2331 | bounds=[490,2303][590,2358]
18: , Insights | android.view.View | clickable=true enabled=true | center=756,2296 | bounds=[648,2217][864,2374]
19:  | android.widget.TextView | clickable=false enabled=true | center=755,2267 | bounds=[722,2232][788,2301]
20: Insights | android.widget.TextView | clickable=false enabled=true | center=756,2331 | bounds=[699,2303][813,2358]
21: , Settings | android.view.View | clickable=true enabled=true | center=972,2296 | bounds=[864,2217][1080,2374]
22:  | android.widget.TextView | clickable=false enabled=true | center=971,2267 | bounds=[938,2232][1004,2301]
23: Settings | android.widget.TextView | clickable=false enabled=true | center=972,2331 | bounds=[912,2303][1031,2358]
