0: TODAY | android.widget.TextView | clickable=false enabled=true | center=540,222 | bounds=[63,195][1017,248]
1: Welcome back to Atlas | android.widget.TextView | clickable=false enabled=true | center=540,319 | bounds=[63,269][1017,369]
2: Today reflects what is due next, what is paused, and where your next safe action starts. | android.widget.TextView | clickable=false enabled=true | center=540,443 | bounds=[63,390][1017,496]
3: Standard privacy view | android.widget.TextView | clickable=false enabled=true | center=288,586 | bounds=[99,559][476,612]
4: Not set | android.widget.TextView | clickable=false enabled=true | center=643,586 | bounds=[581,559][705,612]
5: FUTURE PLAN PAUSED | android.widget.TextView | clickable=false enabled=true | center=541,789 | bounds=[129,762][953,815]
6: Nothing is due until the plan resumes | android.widget.TextView | clickable=false enabled=true | center=541,925 | bounds=[129,846][953,1004]
7: Atlas still has a saved protocol, but all future occurrences are paused right now. Resume or edit the future plan when you are ready. | android.widget.TextView | clickable=false enabled=true | center=541,1116 | bounds=[129,1036][953,1195]
8: Change future plan | android.widget.Button | clickable=true enabled=true | center=540,1324 | bounds=[129,1258][951,1389]
9: Change future plan | android.widget.TextView | clickable=false enabled=true | center=540,1324 | bounds=[360,1292][720,1355]
10: Open Library | android.widget.Button | clickable=true enabled=true | center=540,1487 | bounds=[129,1421][951,1553]
11: Open Library | android.widget.TextView | clickable=false enabled=true | center=541,1487 | bounds=[420,1455][661,1518]
12: WHAT UNLOCKS NEXT | android.widget.TextView | clickable=false enabled=true | center=541,1773 | bounds=[129,1746][953,1799]
13: Timeline keeps your history intact while the future plan is paused. | android.widget.TextView | clickable=false enabled=true | center=592,1884 | bounds=[181,1831][1003,1937]
14: Library now stores the local source of truth for each routine. | android.widget.TextView | clickable=false enabled=true | center=592,2021 | bounds=[181,1968][1003,2074]
15: Insights stay descriptive and privacy-aware. | android.widget.TextView | clickable=false enabled=true | center=547,2119 | bounds=[181,2106][913,2132]
16: , Today | android.view.View | clickable=true enabled=true | center=108,2296 | bounds=[0,2217][216,2374]
17: Today | android.widget.TextView | clickable=false enabled=true | center=108,2331 | bounds=[64,2303][151,2358]
18:  | android.widget.TextView | clickable=false enabled=true | center=107,2267 | bounds=[74,2232][140,2301]
19: , Timeline | android.view.View | clickable=true enabled=true | center=324,2296 | bounds=[216,2217][432,2374]
20:  | android.widget.TextView | clickable=false enabled=true | center=323,2267 | bounds=[290,2232][356,2301]
21: Timeline | android.widget.TextView | clickable=false enabled=true | center=324,2331 | bounds=[262,2303][386,2358]
22: , Library | android.view.View | clickable=true enabled=true | center=540,2296 | bounds=[432,2217][648,2374]
23:  | android.widget.TextView | clickable=false enabled=true | center=539,2267 | bounds=[506,2232][572,2301]
24: Library | android.widget.TextView | clickable=false enabled=true | center=540,2331 | bounds=[490,2303][590,2358]
25: , Insights | android.view.View | clickable=true enabled=true | center=756,2296 | bounds=[648,2217][864,2374]
26:  | android.widget.TextView | clickable=false enabled=true | center=755,2267 | bounds=[722,2232][788,2301]
27: Insights | android.widget.TextView | clickable=false enabled=true | center=756,2331 | bounds=[699,2303][813,2358]
28: , Settings | android.view.View | clickable=true enabled=true | center=972,2296 | bounds=[864,2217][1080,2374]
29:  | android.widget.TextView | clickable=false enabled=true | center=971,2267 | bounds=[938,2232][1004,2301]
30: Settings | android.widget.TextView | clickable=false enabled=true | center=972,2331 | bounds=[912,2303][1031,2358]
